,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss,Loss,Loss
,,NO3_N,NH4_N,Available_P,Exchangeable_K,pH,EC,NO3_N,NH4_N,Available_P,Exchangeable_K,pH,EC
method,fold,,,,,,,,,,,,
S,fold5,,0.35271449754159023,,,,,,0.7797336578369141,,,,
R,fold5,,0.3400239387065293,,,,,,3.841644644926986,,,,
X,fold5,,0.5267072758652855,,,,,,2.9462196826934814,,,,
S,fold5,,0.6493032415864234,,,,,,2.4239039747640754,,,,
S,fold5,,,0.5545513384547682,,,,,,41.356544494628906,,,
R,fold5,,,0.5091398524161224,,,,,,6910.277031671191,,,
X,fold5,,,0.48423514612932167,,,,,,7022.85400390625,,,
S,fold5,,,0.5437758937212582,,,,,,3812.6378019621525,,,
S,fold5,,,,0.6617681429792577,,,,,,11.35536003112793,,
R,fold5,,,,0.7200339369283096,,,,,,1041.6364616964524,,
X,fold5,,,,0.6735229695595822,,,,,,935.2550659179688,,
S,fold5,,,,0.5482999308988487,,,,,,880.0303060612207,,
S,fold5,,,,,0.7643620338638436,,,,,,0.2760036885738373,
R,fold5,,,,,0.7496710749894208,,,,,,3.925633270559031,
X,fold5,,,,,0.7218554554633642,,,,,,3.9280219078063965,
S,fold5,,,,,0.7594136920929802,,,,,,3.9068218573096596,
S,fold5,,,,,,0.46641088268766806,,,,,,0.03633507713675499
R,fold5,,,,,,0.5886593608116826,,,,,,0.04932159161192321
X,fold5,,,,,,0.7330975852832073,,,,,,0.048039887100458145
S,fold5,,,,,,0.39363738176367985,,,,,,0.057717529486440204
