,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss,Loss,Loss
,,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC
method,fold,,,,,,,,,,,,
R,fold5,,0.7190402001847589,,,,,,0.3689533907640978,,,,
X,fold5,,0.7529917641864191,,,,,,0.3642748296260834,,,,
S,fold5,,0.7715020402368504,,,,,,0.3807896113608676,,,,
S,fold5,,,0.6849977622133686,,,,,,29.56087303161621,,,
R,fold5,,,0.5828518992647042,,,,,,35.36138934136906,,,
X,fold5,,,0.4587553697775672,,,,,,40.012020111083984,,,
S,fold5,,,0.7159487537418793,,,,,,25.644953289468607,,,
S,fold5,,,,0.621177685035956,,,,,,12.509903907775879,,
R,fold5,,,,0.6394337533756647,,,,,,12.04091680333667,,
X,fold5,,,,0.5992702656216942,,,,,,12.484955787658691,,
S,fold5,,,,0.6091874522561979,,,,,,12.44736270313202,,
S,fold5,,,,,0.7235115698880239,,,,,,0.3151717782020569,
R,fold5,,,,,0.7107544934042007,,,,,,0.3180440589261283,
X,fold5,,,,,0.6742206407490176,,,,,,0.3271986246109009,
S,fold5,,,,,0.7381137203609445,,,,,,0.31076111387437577,
S,fold5,,,,,,0.634759930697349,,,,,,0.027976637706160545
R,fold5,,,,,,0.6675201081698409,,,,,,0.026601695034746766
X,fold5,,,,,,0.6880456006001429,,,,,,0.026544239372015
S,fold5,,,,,,0.6529167926713209,,,,,,0.025773276511194997
