index,d__Bacteria,d__Archaea,Unassigned,d__Eukaryota,asv-id,Hojo,crop-id,year,pref,crop,date,lati,long,latlng1d,SoilTypeID,SoilTypeID2
2020-Hojo-N-10_S20,110287.0,621.0,20.0,0.0,2020-Hojo-N-10,Hojo,030_20_Niig_Rice,20.0,Niig,Rice,2020/10/6,37.11299,138.735671,5.04916,D3z1x4,D3z1x4
2020-Hojo-NA-01_S61,243610.0,2881.0,30.0,0.0,2020-Hojo-NA-01,Hojo,061_20_Naga_Barl,20.0,Naga,Barl,2020/9/11,36.32951,137.89791,3.90223,F3h3t3,F3z1t2
2020-Hojo-NA-02_S62,160031.0,891.0,28.0,0.0,2020-Hojo-NA-02,Hojo,062_20_Naga_Barl,20.0,Naga,Barl,2020/9/11,36.32021,137.89396,3.89304,F3z1t2,NA
2020-Hojo-NA-03_S63,130457.0,1706.0,37.0,2.0,2020-Hojo-NA-03,Hojo,063_20_Naga_Onio,20.0,Naga,Onio,2020/9/11,36.32831,137.90048,3.90332,F3z1p2,F4z1p2
2020-Hojo-NA-04_S64,225854.0,3930.0,74.0,6.0,2020-Hojo-NA-04,Hojo,064_20_Naga_Onio,20.0,Naga,Onio,2020/9/11,36.32861,137.89916,3.90254,F3z1p2,F3z1p2
2020-Hojo-NA-05_S65,97835.0,840.0,22.0,2.0,2020-Hojo-NA-05,Hojo,065_20_Naga_Onio,20.0,Naga,Onio,2020/9/11,36.32823,137.8993,3.90239,F3z1p2,F4z1p2
2020-Hojo-NA-06_S66,91242.0,778.0,14.0,0.0,2020-Hojo-NA-06,Hojo,066_20_Naga_Onio,20.0,Naga,Onio,2020/9/11,36.32668,137.89999,3.90186,F4z1p2,F4z1p2
2020-Hojo-NA-07_S67,124377.0,1919.0,18.0,0.0,2020-Hojo-NA-07,Hojo,067_20_Naga_Pump,20.0,Naga,Pump,2020/9/11,36.31915,137.89359,3.89205,F3z1t2,NA
2020-Hojo-NA-08_S68,130866.0,1214.0,19.0,6.0,2020-Hojo-NA-08,Hojo,068_20_Naga_Rice,20.0,Naga,Rice,2020/10/4,36.32857,137.85663,3.87108,F4z1p2,F4z1p2
2020-Hojo-NA-09_S69,12660.0,54.0,0.0,0.0,2020-Hojo-NA-09,Hojo,069_20_Naga_Rice,20.0,Naga,Rice,2020/10/4,36.32832,137.85644,3.87077,F4z1p2,F4z1p2
