sampleID,sampleID.original,pH,pH.score
595,QRR200,6.428,100
596,QRR201,6.254,98
597,QRR202,6.155,94.7
598,QRR203,6.123,92.9
599,QRR204,6.142,94
600,QRR205,6.392,100
601,QRR206,6.293,98.7
602,QRR207,6.282,98.6
603,QRR208,6.171,95.4
604,QRR209,6.314,100
605,QRR210,6.394,100
606,QRR211,6.481,100
607,QRR212,6.339,100
608,QRR213,5.963,77.1
609,RR150,7.557,86.5
610,RR151,7.417,95.9
611,RR152,6.545,100
612,RR153,6.752,100
613,RR514,8.548,0
614,RR515,7.063,100
615,RR516,6.355,100
616,QRR630,7.186,100
617,QRR631,7.117,100
618,QRR632,7.443,94.8
619,QRR633,7.213,100
620,QRR634,7.012,100
621,QRR635,7.236,100
622,QRR636,7.312,98.7
623,QRR637,7.583,83.8
624,QRR638,7.275,100
625,QRR639,7.176,100
626,QRR640,7.295,100
627,QRR641,7.245,100
628,RR1467,5.68,29.3
629,RR1468,7.73,62.5
630,RR1469,7.81,48.2
631,RR2099,6.83,100
632,RR2100,6.24,97.7
633,RR2101,6.17,95.4
634,RR2102,6.63,100
635,RR2103,6.05,87.2
636,RR2104,6.26,98.2
637,RR2105,5.66,26.2
638,RR2106,4.95,0
639,RR2107,5.31,1.3
640,RR2109,5.89,65.9
641,RR2110,6.38,100
642,RR2111,6.34,100
643,RR2112,6.4,100
644,RR2113,5.96,76.6
645,RR2114,6.34,100
646,RR2146,6.68,100
647,RR2147,5.87,62.5
648,RR2148,6.1,91.4
649,RR2149,6.2,96.5
650,RR2150,6.3,100
651,RR2151,6.23,97.5
652,RR2164,6.04,86.2
653,RR2165,6.41,100
654,RR2166,6.6,100
655,RR2167,6.51,100
656,RR2168,6.62,100
657,RR2169,6.82,100
658,RR2170,6.56,100
659,RR2171,6.24,97.7
660,RR2178,6.42,100
661,RR2179,6.5,100
662,RR2180,6.45,100
663,RR2181,6.14,93.9
664,RR2182,6.16,94.9
665,RR2183,6.25,98
666,RR2184,6.2,96.5
667,RR2185,6.33,100
668,RR2186,6.28,98.5
669,RR2187,6.43,100
670,RR2188,6.35,100
671,RR2189,6.43,100
672,RR2190,6.35,100
673,RR2191,6.45,100
674,RR2192,6.2,96.5
675,RR2193,6.42,100
676,RR2194,6.02,84.1
677,RR2195,6.58,100
678,RR2196,6.35,100
679,RR2197,6.65,100
680,RR2198,6.49,100
681,RR2199,6.46,100
682,RR2200,6.47,100
683,RR2201,6.36,100
684,RR2202,6.44,100
685,RR2203,6.61,100
686,RR2204,6.46,100
687,RR2205,6.51,100
688,RR2206,6.31,100
689,RR2207,6.69,100
690,RR2208,6.42,100
691,RR2209,6.66,100
692,RR2210,6.82,100
693,RR2211,6.43,100
694,RR2212,6.57,100
695,RR2213,6.55,100
696,RR2214,6.65,100
697,RR2215,6.44,100
698,RR2216,6.51,100
699,RR2217,6.49,100
700,RR2218,6.37,100
701,RR2219,6.48,100
702,RR2220,6.81,100
703,RR2221,6.53,100
704,RR2222,6.42,100
705,RR2223,6.55,100
706,RR2224,6.63,100
707,RR2225,6.61,100
708,RR2226,6.58,100
709,RR2227,6.51,100
710,RR2228,6.38,100
711,RR2229,6.44,100
712,RR2230,6.6,100
713,RR2231,6.58,100
714,RR2234,6.78,100
715,RR2235,6.4,100
716,RR2236,6.44,100
717,RR2237,6.38,100
718,RR2238,6.91,100
719,RR2239,6.82,100
720,RR2240,6.78,100
721,RR2263,6.83,100
722,RR2264,6.5,100
723,RR2265,6.55,100
724,RR2266,6.53,100
725,RR2267,6.6,100
726,RR2268,6.68,100
727,RR2269,5.03,0
728,RR2270,5,0
729,RR2271,5.08,0
730,RR2272,6.55,100
731,RR2273,6.5,100
