sampleID,Latitude,Longitude
292,41.9117,-74.0814
293,41.9088,-74.0886
294,41.9089,-74.0889
295,41.9089,-74.0892
296,41.9091,-74.0884
297,41.9092,-74.0884
298,41.9091,-74.0885
299,41.9087,-74.0892
300,41.9087,-74.0891
301,41.9087,-74.0891
302,41.9127,-74.0825
303,41.9129,-74.0826
304,41.9128,-74.08255
305,41.9125,-74.0821
306,41.9126,-74.0822
307,41.9124,-74.0823
308,41.9129,-74.0827
309,41.9129,-74.0825
310,41.9129,-74.0825
311,41.9136,-74.0846
312,41.9136,-74.0846
313,41.9135,-74.0845
314,41.9135,-74.0843
315,41.9135,-74.0842
316,41.9135,-74.0842
317,41.9137,-74.0848
318,41.9138,-74.0848
319,41.9137,-74.0889
320,41.9125,-74.0913
321,42.272546,-73.598022
322,42.272546,-73.598022
323,42.272546,-73.598022
324,42.272546,-73.598022
325,42.272546,-73.598022
326,42.272546,-73.598022
327,42.272546,-73.598022
328,42.272546,-73.598022
329,42.272546,-73.598022
330,42.272546,-73.598022
331,42.272546,-73.598022
332,42.272546,-73.598022
333,42.272546,-73.598022
334,42.272546,-73.598022
335,42.272546,-73.598022
336,42.272546,-73.598022
337,42.272546,-73.598022
338,42.272546,-73.598022
339,42.272546,-73.598022
340,42.272546,-73.598022
341,42.272546,-73.598022
342,28.584599,-82.373868
343,28.584599,-82.373868
344,28.584599,-82.373868
345,28.584599,-82.373868
346,28.584599,-82.373868
347,28.584599,-82.373868
348,28.584599,-82.373868
349,28.584599,-82.373868
350,28.584599,-82.373868
351,28.584599,-82.373868
352,28.584599,-82.373868
353,28.584599,-82.373868
354,42.895193,-105.847499
355,42.895193,-105.847499
356,42.895193,-105.847499
357,42.895193,-105.847499
358,32.524547,82.124488
359,32.541687,82.103728
360,32.571388,82.073486
361,32.571388,82.073486
362,32.525424,82.071758
363,32.0023,83.093992
364,38. 102484,121.100033
365,38.102484,121.100033
366,38.102486,121.095544
367,38.102486,121.095544
368,38.10237,121.095547
369,38.102376,121.095547
370,38.102385,121.095547
371,38.102385,121.09554
372,35.97314,99.38176
373,35.85959,99.30129
374,35.858968,99.291023
375,34.401077,99.206404
376,34.43598,99.247959
377,29.05059,98.002256
378,28.90514,97.74888
379,28.93156,97.74888
380,42.71,77.952
381,42.747343,77.8899
382,35.3022,120.6674
383,35.3022,120.6674
384,35.3011,120.668
385,35.3006,120.6672
386,35.3006,120.6668
387,45.7187,118.6221
388,45.7187,118.6219
389,45.7181,118.6221
390,45.7181,118.6218
391,45.7187,118.6221
392,45.7187,118.6218
393,45.7181,118.6221
394,45.7181,118.622
395,45.7187,118.6222
396,45.7187,118.622
397,45.7181,118.6222
398,45.7181,118.6219
399,45.7188,118.6223
400,45.7186,118.6223
401,45.7182,118.6223
402,45.718,118.6223
403,45.7185,118.6227
404,45.7185,118.6227
405,45.7185,118.6227
406,45.7185,118.6225
407,45.7185,118.6226
408,45.7185,118.6226
409,45.7185,118.6225
410,45.7185,118.6225
411,45.7181,118.624
412,45.7181,118.6236
413,45.7181,118.6231
414,45.7181,118.6229
415,45.7181,118.6241
416,45.7181,118.6236
417,45.7181,118.6233
418,45.7181,118.623
419,45.7181,118.6241
420,45.7181,118.6234
421,45.7181,118.6233
422,45.7181,118.6229
423,45.7185,118.624
424,45.7185,118.6236
425,45.7185,118.6231
426,45.7185,118.6229
427,45.7185,118.6241
428,45.7185,118.6236
429,45.7185,118.6233
430,45.7185,118.623
431,45.7185,118.6241
432,45.7185,118.6234
433,45.7185,118.6233
434,45.7185,118.6229
435,39.3778,122.0155
436,39.3778,122.0155
437,39.3762,122.0161
438,39.3762,122.0161
439,38.547512,-121.80519
440,38.547512,-121.80519
441,38.547512,-121.80519
442,38.547512,-121.80519
443,38.547512,-121.80519
444,38.547512,-121.80519
445,38.547512,-121.80519
446,38.547512,-121.80519
447,38.547512,-121.80519
448,38.547512,-121.80519
449,38.547512,-121.80519
450,38.547512,-121.80519
451,38.547512,-121.80519
452,38.547512,-121.80519
453,38.547512,-121.80519
454,38.547512,-121.80519
455,38.547512,-121.80519
456,38.547512,-121.80519
457,38.547512,-121.80519
458,38.547512,-121.80519
459,38.547512,-121.80519
460,38.547512,-121.80519
461,38.547512,-121.80519
462,38.547512,-121.80519
463,38.547512,-121.80519
464,38.547512,-121.80519
465,38.547512,-121.80519
466,38.547512,-121.80519
467,38.547512,-121.80519
468,38.547512,-121.80519
469,38.547512,-121.80519
470,38.547512,-121.80519
471,38.547512,-121.80519
472,38.547512,-121.80519
473,38.547512,-121.80519
474,38.547512,-121.80519
475,38.547512,-121.80519
476,38.547512,-121.80519
477,38.547512,-121.80519
478,38.547512,-121.80519
479,38.547512,-121.80519
480,38.547512,-121.80519
481,38.547512,-121.80519
482,38.547512,-121.80519
483,38.547512,-121.80519
484,38.547512,-121.80519
485,38.547512,-121.80519
486,38.547512,-121.80519
487,38.547512,-121.80519
488,38.547512,-121.80519
489,38.547512,-121.80519
490,38.547512,-121.80519
491,38.547512,-121.80519
492,38.547512,-121.80519
493,38.547512,-121.80519
494,38.547512,-121.80519
495,38.547512,-121.80519
496,38.547512,-121.80519
497,33.82409,98.06892
498,33.82409,98.06892
499,33.82409,98.06892
500,33.84099,98.0593
501,33.84099,98.0593
502,33.84099,98.0593
503,33.84946,98.04105
504,33.84946,98.04105
505,33.84946,98.04105
506,33.86906,98.06395
507,33.86906,98.06395
508,33.86906,98.06395
509,33.82545,98.0976
510,33.82545,98.0976
511,33.82545,98.0976
512,33.82409,-98.06892
513,33.82409,-98.06892
514,33.82409,-98.06892
515,33.84099,-98.0593
516,33.84099,-98.0593
517,33.84099,-98.0593
518,33.84946,-98.04105
519,33.84946,-98.04105
520,33.84946,-98.04105
521,33.86906,-98.06395
522,33.86906,-98.06395
523,33.86906,-98.06395
524,33.82545,-98.0976
525,33.82545,-98.0976
526,33.82545,-98.0976
527,33.54237,-97.92917
528,33.54237,-97.92917
529,33.54237,-97.92917
530,33.53712,-97.92152
531,33.53712,-97.92152
532,33.53712,-97.92152
533,33.5349,-97.91049
534,33.5349,-97.91049
535,33.5349,-97.91049
536,33.53056,-97.91576
537,33.53056,-97.91576
538,33.53056,-97.91576
539,33.52978,-97.9211
540,33.52978,-97.9211
541,33.52978,-97.9211
542,33.54301,-97.90729
543,33.54301,-97.90729
544,33.54301,-97.90729
545,33.55148,-97.90404
546,33.55148,-97.90404
547,33.55148,-97.90404
548,33.51914,-97.89942
549,33.51914,-97.89942
550,33.51914,-97.89942
551,31.9005,91.15139
552,31.9005,91.15139
553,31.9005,91.15139
554,31.9005,91.15139
555,38.103514,121.95414
556,38.103632,121.95605
557,38.103588,121.95698
558,38.10307,121.10297
559,38.102724,121.10547
560,38.102724,121.95676
561,61.519,-149.08
562,61.519,-149.08
563,61.519,-149.08
564,61.519,-149.08
565,61.519,-149.08
566,61.519,-149.08
567,61.519,-149.08
568,61.519,-149.08
569,61.519,-149.08
570,61.519,-149.08
571,61.519,-149.08
572,61.519,-149.08
573,61.519,-149.08
