,Available_P_ST,Pred_Available_P_ST,True_Available_P_ST,土地,作物,土地_作物
159_21_Miyz_Spin,375.56842,106.43157,482.0,Miyz,Spin,Miyz_Spin
171_21_Miyz_Spin,348.8181,166.1819,515.0,Miyz,Spin,Miyz_Spin
195_21_Miyz_Spin,49.084393,40.915607,90.0,Miyz,Spin,Miyz_Spin
197_21_Miyz_Spin,8.409225,119.590775,128.0,Miyz,Spin,Miyz_Spin
200_21_Miyz_Spin,18.315514,31.315514,12.999999,Miyz,Spin,Miyz_Spin
206_21_Miyz_Spin,72.087814,37.912197,110.00001,Miyz,Spin,Miyz_Spin
223_21_Miyz_Edam,48.000008,37.0,85.00001,Miyz,Edam,Miyz_Edam
229_21_Miyz_Edam,2.0,30.0,32.0,Miyz,Edam,Miyz_Edam
234_21_Miyz_Spin,28.0,40.0,12.0,Miyz,Spin,Miyz_Spin
243_21_Aomo_Appl,73.82179,119.82179,46.0,Aomo,Appl,Aomo_Appl
245_21_Aomo_Appl,35.035202,68.0352,33.0,Aomo,Appl,Aomo_Appl
274_22_Naga_Rice,35.548695,51.451305,87.0,Naga,Rice,Naga_Rice
284_22_Miyz_Soyb,2.0053854,5.0053854,3.0,Miyz,Soyb,Miyz_Soyb
290_22_Hokk_Whea,4.0,12.0,8.0,Hokk,Whea,Hokk_Whea
293_22_Hokk_Whea,8.999998,19.0,10.000002,Hokk,Whea,Hokk_Whea
294_22_Hokk_Whea,19.525402,28.525402,9.0,Hokk,Whea,Hokk_Whea
297_22_Hokk_Whea,3.0,15.0,12.0,Hokk,Whea,Hokk_Whea
319_22_Miyg_Rice,4.190132,9.809868,14.0,Miyg,Rice,Miyg_Rice
321_22_Miyg_Rice,8.084487,4.915512,12.999999,Miyg,Rice,Miyg_Rice
347_22_Yama_Rice,0.0,15.0,15.0,Yama,Rice,Yama_Rice
355_22_Sait_Pear,116.0,14.0,130.0,Sait,Pear,Sait_Pear
001_20_Aomo_Rice,1.0573578,10.515678,9.458321,Aomo,Rice,Aomo_Rice
005_20_Aomo_Rice,31.865631,35.0,3.1343694,Aomo,Rice,Aomo_Rice
012_20_Akit_Rice,23.0,20.0,43.0,Akit,Rice,Akit_Rice
097_20_Hyog_Rice,3.9025135,18.902514,15.0,Hyog,Rice,Hyog_Rice
098_20_Hyog_Rice,12.889807,13.110193,26.0,Hyog,Rice,Hyog_Rice
124_20_Miyz_Spin,6.6432266,45.643227,39.0,Miyz,Spin,Miyz_Spin
129_20_Miyz_Spin,9.0,48.0,39.0,Miyz,Spin,Miyz_Spin
045_20_Sait_Broc,60.630127,55.005035,115.63516,Sait,Broc,Sait_Broc
162_21_Miyz_Spin,91.000015,119.0,210.00002,Miyz,Spin,Miyz_Spin
164_21_Miyz_Spin,336.52637,67.47363,404.0,Miyz,Spin,Miyz_Spin
167_21_Miyz_Spin,176.0007,63.99927,239.99997,Miyz,Spin,Miyz_Spin
186_21_Miyz_Spin,14.338303,60.661697,75.0,Miyz,Spin,Miyz_Spin
205_21_Miyz_Spin,12.0,20.0,32.0,Miyz,Spin,Miyz_Spin
214_21_Miyz_Edam,344.9992,170.0,514.9992,Miyz,Edam,Miyz_Edam
226_21_Miyz_Edam,0.98662186,56.01338,57.0,Miyz,Edam,Miyz_Edam
236_21_Miyz_Spin,158.75858,60.241432,219.0,Miyz,Spin,Miyz_Spin
257_21_Sait_Spin,39.640514,41.359486,81.0,Sait,Spin,Sait_Spin
265_21_Naga_Appl,7.0,46.0,53.0,Naga,Appl,Naga_Appl
276_22_Naga_Rice,13.559048,45.559048,32.0,Naga,Rice,Naga_Rice
278_22_Naga_Rice,2.0,39.0,37.0,Naga,Rice,Naga_Rice
285_22_Miyz_Soyb,17.945755,29.945755,12.0,Miyz,Soyb,Miyz_Soyb
286_22_Hokk_Soyb,11.0,20.0,9.0,Hokk,Soyb,Hokk_Soyb
296_22_Hokk_Whea,4.0,15.0,19.0,Hokk,Whea,Hokk_Whea
314_22_Chib_Whea,11.0,19.0,8.0,Chib,Whea,Chib_Whea
320_22_Miyg_Rice,2.0,14.0,12.0,Miyg,Rice,Miyg_Rice
330_22_Niig_Pear,220.45964,94.54036,315.0,Niig,Pear,Niig_Pear
340_22_Yama_Rice,1.0,14.0,15.0,Yama,Rice,Yama_Rice
345_22_Yama_Rice,8.0,22.0,30.0,Yama,Rice,Yama_Rice
356_22_Sait_Pear,105.0,55.0,160.0,Sait,Pear,Sait_Pear
368_22_Miee_Soyb,8.110443,38.110443,30.0,Miee,Soyb,Miee_Soyb
371_22_Miee_Soyb,25.0,43.0,68.0,Miee,Soyb,Miee_Soyb
009_20_Aomo_Rice,2.8705301,9.5056505,12.376181,Aomo,Rice,Aomo_Rice
094_20_Hyog_Rice,11.0,41.0,30.0,Hyog,Rice,Hyog_Rice
022_20_Niig_Rice,8.871027,14.0,22.871027,Niig,Rice,Niig_Rice
023_20_Niig_Rice,3.5861778,14.890384,11.304206,Niig,Rice,Niig_Rice
027_20_Niig_Rice,7.6342106,14.0,21.63421,Niig,Rice,Niig_Rice
046_20_Sait_Burd,66.95319,120.83264,53.879448,Sait,Burd,Sait_Burd
048_20_Sait_Yama,72.59301,84.07675,11.483741,Sait,Yama,Sait_Yama
134_21_Akit_Edam,24.201565,50.798435,75.0,Akit,Edam,Akit_Edam
145_21_Miyz_Spin,221.49567,273.49567,52.0,Miyz,Spin,Miyz_Spin
