,NH4_N_ST,Pred_NH4_N_ST,True_NH4_N_ST,土地,作物,土地_作物
365_22_Miee_Soyb,2.2843575,0.91564363,3.2000012,Miee,Soyb,Miee_Soyb
366_22_Miee_Soyb,1.9999998,0.8,2.7999997,Miee,Soyb,Miee_Soyb
002_20_Aomo_Rice,0.31352776,0.7251819,1.0387096,Aomo,Rice,Aomo_Rice
014_20_Akit_Rice,0.2,0.4,0.2,Akit,Rice,Akit_Rice
015_20_Akit_Rice,0.3,0.3,0.6,Akit,Rice,Akit_Rice
127_20_Miyz_Spin,0.099999994,0.4,0.5,Miyz,Spin,Miyz_Spin
026_20_Niig_Rice,0.048863113,0.57425797,0.52539486,Niig,Rice,Niig_Rice
030_20_Niig_Rice,0.47709596,0.6,1.077096,Niig,Rice,Niig_Rice
062_20_Naga_Barl,0.5,0.5,1.0,Naga,Barl,Naga_Barl
065_20_Naga_Onio,0.0,0.7,0.7,Naga,Onio,Naga_Onio
066_20_Naga_Onio,0.15289676,0.64710325,0.8,Naga,Onio,Naga_Onio
067_20_Naga_Pump,0.100000024,0.5,0.6,Naga,Pump,Naga_Pump
144_21_Miyz_Spin,0.10000001,0.3,0.2,Miyz,Spin,Miyz_Spin
152_21_Miyz_Spin,0.014154017,0.385846,0.4,Miyz,Spin,Miyz_Spin
155_21_Miyz_Spin,0.2,0.4,0.2,Miyz,Spin,Miyz_Spin
158_21_Miyz_Spin,0.0,0.3,0.3,Miyz,Spin,Miyz_Spin
169_21_Miyz_Spin,0.0,0.3,0.3,Miyz,Spin,Miyz_Spin
198_21_Miyz_Spin,0.29999995,0.6,0.9,Miyz,Spin,Miyz_Spin
225_21_Miyz_Edam,0.20000002,0.4,0.6,Miyz,Edam,Miyz_Edam
230_21_Miyz_Edam,0.20000002,0.4,0.6,Miyz,Edam,Miyz_Edam
255_21_Sait_Spin,0.5,0.5,1.0,Sait,Spin,Sait_Spin
266_21_Naga_Appl,0.29999998,0.4,0.7,Naga,Appl,Naga_Appl
270_21_Naga_Appl,0.016177654,0.71617764,0.7,Naga,Appl,Naga_Appl
282_22_Naga_Rice,0.0,0.6,0.6,Naga,Rice,Naga_Rice
292_22_Hokk_Whea,0.099999994,0.4,0.5,Hokk,Whea,Hokk_Whea
306_22_Hokk_Whea,0.099999994,0.4,0.5,Hokk,Whea,Hokk_Whea
308_22_Hokk_Whea,0.099999994,0.4,0.5,Hokk,Whea,Hokk_Whea
328_22_Niig_Pear,0.3,0.5,0.8,Niig,Pear,Niig_Pear
329_22_Niig_Pear,0.39999998,0.6,1.0,Niig,Pear,Niig_Pear
336_22_Yama_Rice,0.2,0.4,0.2,Yama,Rice,Yama_Rice
346_22_Yama_Rice,0.0,0.3,0.3,Yama,Rice,Yama_Rice
362_22_Miee_Soyb,3.1,0.7,3.8,Miee,Soyb,Miee_Soyb
369_22_Miee_Soyb,2.8,0.7,3.5,Miee,Soyb,Miee_Soyb
091_20_Hyog_Rice,0.39301425,0.5069857,0.9,Hyog,Rice,Hyog_Rice
092_20_Hyog_Rice,0.29999998,0.4,0.7,Hyog,Rice,Hyog_Rice
061_20_Naga_Barl,0.19999999,0.6,0.8,Naga,Barl,Naga_Barl
063_20_Naga_Onio,0.19999999,0.6,0.8,Naga,Onio,Naga_Onio
041_20_Sait_Carr,0.05902785,0.7,0.75902784,Sait,Carr,Sait_Carr
135_21_Akit_Edam,0.2,0.4,0.2,Akit,Edam,Akit_Edam
151_21_Miyz_Spin,0.2,0.4,0.2,Miyz,Spin,Miyz_Spin
163_21_Miyz_Spin,0.099999994,0.4,0.3,Miyz,Spin,Miyz_Spin
166_21_Miyz_Spin,0.3,0.3,0.0,Miyz,Spin,Miyz_Spin
170_21_Miyz_Spin,0.099999994,0.3,0.4,Miyz,Spin,Miyz_Spin
185_21_Miyz_Spin,0.3,0.6,0.3,Miyz,Spin,Miyz_Spin
194_21_Miyz_Spin,0.19999999,0.5,0.7,Miyz,Spin,Miyz_Spin
213_21_Miyz_Edam,0.04298398,0.35701603,0.4,Miyz,Edam,Miyz_Edam
215_21_Miyz_Edam,0.19999999,0.7,0.5,Miyz,Edam,Miyz_Edam
224_21_Miyz_Edam,0.40000004,0.6,0.2,Miyz,Edam,Miyz_Edam
233_21_Miyz_Edam,0.20000002,0.4,0.6,Miyz,Edam,Miyz_Edam
239_21_Aomo_Appl,0.17492557,0.7250744,0.9,Aomo,Appl,Aomo_Appl
252_21_Aomo_Appl,0.30247855,0.60247856,0.3,Aomo,Appl,Aomo_Appl
253_21_Sait_Spin,0.59999985,0.7,1.2999998,Sait,Spin,Sait_Spin
254_21_Sait_Spin,0.23063326,0.6693667,0.9,Sait,Spin,Sait_Spin
256_21_Sait_Spin,0.50000006,0.7,1.2,Sait,Spin,Sait_Spin
279_22_Naga_Rice,0.20000002,0.4,0.6,Naga,Rice,Naga_Rice
300_22_Hokk_Whea,0.29999998,0.7,0.4,Hokk,Whea,Hokk_Whea
317_22_Miyg_Rice,0.099999994,0.4,0.5,Miyg,Rice,Miyg_Rice
322_22_Niig_Rice,0.20000002,0.4,0.6,Niig,Rice,Niig_Rice
335_22_Yama_Rice,0.6,0.4,1.0,Yama,Rice,Yama_Rice
341_22_Yama_Rice,0.3,0.3,0.0,Yama,Rice,Yama_Rice
358_22_Sait_Pear,0.37995762,0.6799576,0.3,Sait,Pear,Sait_Pear
373_22_Miee_Soyb,3.2999997,0.9,4.2,Miee,Soyb,Miee_Soyb
374_22_Miee_Soyb,3.2,0.7,3.9,Miee,Soyb,Miee_Soyb
