,Available_P_ST,Pred_Available_P_ST,True_Available_P_ST,土地,作物,土地_作物
243_21_Aomo_Appl,68.81678,114.81678,46.0,Aomo,Appl,Aomo_Appl
245_21_Aomo_Appl,57.15284,90.15284,33.0,Aomo,Appl,Aomo_Appl
274_22_Naga_Rice,39.0,48.0,87.0,Naga,Rice,Naga_Rice
284_22_Miyz_Soyb,16.0,19.0,3.0,Miyz,Soyb,Miyz_Soyb
290_22_Hokk_Whea,3.1612244,11.161224,8.0,Hokk,Whea,Hokk_Whea
293_22_Hokk_Whea,4.999998,15.0,10.000002,Hokk,Whea,Hokk_Whea
294_22_Hokk_Whea,14.989716,23.989716,9.0,Hokk,Whea,Hokk_Whea
297_22_Hokk_Whea,7.0,19.0,12.0,Hokk,Whea,Hokk_Whea
319_22_Miyg_Rice,1.8771744,15.877174,14.0,Miyg,Rice,Miyg_Rice
321_22_Miyg_Rice,1.0479612,14.04796,12.999999,Miyg,Rice,Miyg_Rice
347_22_Yama_Rice,0.5570898,14.44291,15.0,Yama,Rice,Yama_Rice
355_22_Sait_Pear,111.0,19.0,130.0,Sait,Pear,Sait_Pear
001_20_Aomo_Rice,3.0943031,12.552624,9.458321,Aomo,Rice,Aomo_Rice
005_20_Aomo_Rice,45.934006,49.068375,3.1343694,Aomo,Rice,Aomo_Rice
012_20_Akit_Rice,13.0,30.0,43.0,Akit,Rice,Akit_Rice
097_20_Hyog_Rice,6.0,21.0,15.0,Hyog,Rice,Hyog_Rice
098_20_Hyog_Rice,6.8411484,32.84115,26.0,Hyog,Rice,Hyog_Rice
124_20_Miyz_Spin,46.399933,85.39993,39.0,Miyz,Spin,Miyz_Spin
129_20_Miyz_Spin,7.0,46.0,39.0,Miyz,Spin,Miyz_Spin
045_20_Sait_Broc,13.24678,102.38838,115.63516,Sait,Broc,Sait_Broc
162_21_Miyz_Spin,72.13112,137.8689,210.00002,Miyz,Spin,Miyz_Spin
164_21_Miyz_Spin,334.15457,69.84542,404.0,Miyz,Spin,Miyz_Spin
167_21_Miyz_Spin,190.99997,49.0,239.99997,Miyz,Spin,Miyz_Spin
186_21_Miyz_Spin,67.03238,142.03238,75.0,Miyz,Spin,Miyz_Spin
205_21_Miyz_Spin,13.044926,18.955074,32.0,Miyz,Spin,Miyz_Spin
214_21_Miyz_Edam,252.9992,262.0,514.9992,Miyz,Edam,Miyz_Edam
226_21_Miyz_Edam,42.311897,99.3119,57.0,Miyz,Edam,Miyz_Edam
236_21_Miyz_Spin,119.04599,99.95401,219.0,Miyz,Spin,Miyz_Spin
257_21_Sait_Spin,35.0,46.0,81.0,Sait,Spin,Sait_Spin
265_21_Naga_Appl,18.0,35.0,53.0,Naga,Appl,Naga_Appl
276_22_Naga_Rice,31.990402,63.990402,32.0,Naga,Rice,Naga_Rice
