,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss,Loss,Loss,Loss,Loss
,,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC,Humus,CEC,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC,Humus,CEC
method,fold,,,,,,,,,,,,,,,,
S,fold4,0.7411561849280279,,,,,,,,3.3714298735039963,,,,,,,
S,fold4,,0.8243906508208205,,,,,,,,0.33528628945350647,,,,,,
R,fold4,,0.7278715415838843,,,,,,,,0.8339911649109594,,,,,,
X,fold4,,0.5765844045657859,,,,,,,,0.7851011157035828,,,,,,
S,fold4,,0.7447189154647877,,,,,,,,0.8025064980089062,,,,,,
S,fold4,,,0.7745504512137905,,,,,,,,36.17728805541992,,,,,
R,fold4,,,0.8072267782381163,,,,,,,,5636.524216039211,,,,,
X,fold4,,,0.5191857542796393,,,,,,,,5201.94482421875,,,,,
S,fold4,,,0.6789142394196596,,,,,,,,3751.165630515107,,,,,
S,fold4,,,,0.7927695684425726,,,,,,,,10.264571189880371,,,,
R,fold4,,,,0.7512514306433086,,,,,,,,840.1565392322494,,,,
X,fold4,,,,0.6333805576988971,,,,,,,,810.062255859375,,,,
S,fold4,,,,0.6294604701077685,,,,,,,,706.9296645072089,,,,
S,fold4,,,,,0.928744549706823,,,,,,,,0.18075650930404663,,,
R,fold4,,,,,0.8919241783240102,,,,,,,,4.388406264339659,,,
X,fold4,,,,,0.8435091704718891,,,,,,,,4.373076915740967,,,
S,fold4,,,,,0.9299583278165962,,,,,,,,4.371928044298555,,,
S,fold4,,,,,,0.8010862814863857,,,,,,,,0.0217274259775877,,
R,fold4,,,,,,0.8007422902669042,,,,,,,,0.03910491448565557,,
X,fold4,,,,,,0.7596974313168903,,,,,,,,0.03921531140804291,,
S,fold4,,,,,,0.773756080028762,,,,,,,,0.040851528516769514,,
S,fold4,,,,,,,0.8520127002573272,,,,,,,,1.409447193145752,
R,fold4,,,,,,,0.8390744516533354,,,,,,,,20.706992008629122,
X,fold4,,,,,,,0.791215617409948,,,,,,,,21.126611709594727,
S,fold4,,,,,,,0.7517143156580024,,,,,,,,19.004226951675523,
S,fold4,,,,,,,,0.7852262366740788,,,,,,,,4.381444931030273
R,fold4,,,,,,,,0.7681505496808105,,,,,,,,193.31138209202774
X,fold4,,,,,,,,0.6865091218212384,,,,,,,,194.8841094970703
S,fold4,,,,,,,,0.6210979821366654,,,,,,,,185.6625282327382
M,fold5,0.7200988946396433,0.8020682501659544,0.6898879290661221,0.5933315727984676,0.7375099286572804,0.6570730798817588,0.5300976198704707,0.6799572961078791,1.0380504131317139,0.341530978679657,30.732118606567383,12.677678108215332,0.30245673656463623,0.02781413495540619,2.1475768089294434,5.02482795715332
M,fold5,0.736876278481579,0.7927882190284748,0.6551717319564355,0.6240843205092474,0.7305707429609705,0.6480790635006183,0.5791292811890719,0.672577355144947,1.0119524002075195,0.35083839297294617,31.238080978393555,12.498665809631348,0.3092265725135803,0.0281972736120224,2.082796573638916,5.071592807769775
S,fold5,0.7118182936805683,,,,,,,,1.0224300622940063,,,,,,,
R,fold5,0.7458907392296295,,,,,,,,4.7767641244043215,,,,,,,
X,fold5,0.6351310274894817,,,,,,,,4.988004684448242,,,,,,,
S,fold5,0.6371641240492194,,,,,,,,3.8991940528002775,,,,,,,
S,fold5,,0.7820542469454634,,,,,,,,0.35950329899787903,,,,,,
