index,d__Bacteria;p__Abditibacteriota,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Armatimonadota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Dadabacteria,d__Bacteria;p__Deferrisomatota,d__Bacteria;p__Deinococcota,d__Bacteria;p__Dependentiae,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Entotheonellaeota,d__Bacteria;p__FCPU426,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__GAL15,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Halanaerobiaeota,d__Bacteria;p__Hydrogenedentes,d__Bacteria;p__Latescibacterota,d__Bacteria;p__MBNT15,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__Myxococcota,d__Bacteria;p__NB1-j,d__Bacteria;p__Nitrospinota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__RCP2-54,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__Spirochaetota,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Sva0485,d__Bacteria;p__TA06,d__Bacteria;p__TX1A-33,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__WPS-2,d__Bacteria;p__WS1,d__Bacteria;p__WS2,d__Bacteria;p__WS4,d__Bacteria;p__Zixibacteria
2020-Hojo-A-01_S1,0,8186,16882,211,1631,213,0,17709,769,0,14,0,0,3837,0,0,0,149,4608,0,0,496,0,0,21,738,151,2441,0,48,1738,56,2108,21986,188,0,69,0,249,0,17,1229,0,17,0,0,0
2020-Hojo-A-02_S2,0,4546,6012,102,619,66,0,4475,173,0,0,0,0,2197,0,0,0,42,1794,0,0,311,0,0,0,339,35,1400,0,83,528,15,453,7675,68,0,68,0,118,0,7,242,0,0,0,0,0
2020-Hojo-A-03_S3,3,19186,31450,576,1774,240,0,22983,2590,0,0,0,0,3275,0,0,0,194,7879,0,0,1694,0,0,175,929,590,6158,0,28,2103,96,4392,31736,394,10,116,35,321,0,0,2303,0,0,0,0,21
2020-Hojo-A-04_S4,0,23994,33565,412,2381,335,0,29500,1720,33,0,0,0,4564,0,0,0,279,13101,0,0,1656,0,0,228,1411,1301,6391,38,144,3529,100,4656,36350,662,6,194,17,575,0,0,2747,24,32,0,0,27
2020-Hojo-A-05_S5,0,605,1053,12,151,0,0,899,37,0,0,0,3,342,0,0,0,27,749,0,0,30,0,0,0,39,0,203,0,0,43,0,0,1029,0,0,7,0,30,0,0,0,0,0,0,0,0
2020-Hojo-A-06_S6,0,15771,34677,392,2606,576,5,24602,2002,15,23,0,11,4746,0,0,0,342,15726,0,0,796,0,0,96,735,560,5801,0,171,1476,52,3298,30948,273,0,139,20,306,0,0,2353,12,20,0,18,9
2020-Hojo-A-07_S7,0,12680,22352,437,3385,580,15,24599,2135,0,21,0,0,4568,0,0,0,427,11169,0,0,1039,0,0,42,1003,432,4879,14,37,2362,141,3704,32615,246,0,191,25,539,0,0,1985,0,0,0,0,28
2020-Hojo-A-08_S8,5,18468,23264,204,2698,502,0,20849,1774,9,33,0,32,3394,0,0,0,205,16379,0,0,760,0,0,94,571,524,6741,3,88,2003,68,4543,29379,251,31,224,11,462,0,14,2085,6,27,0,48,24
2020-Hojo-A-09_S9,5,10130,12506,298,1563,254,0,8205,434,20,20,0,12,2185,0,0,7,136,7651,0,0,521,0,0,92,237,280,3123,4,0,567,9,3439,17899,207,0,118,0,92,0,0,1557,10,11,0,0,0
2020-Hojo-A-10_S10,5,16067,33125,269,3765,918,17,22017,1304,0,0,0,18,4864,13,0,0,309,19071,0,0,1026,0,0,104,788,369,6517,2,108,2240,178,5622,40131,209,0,228,4,448,0,0,1745,0,15,0,0,47
2020-Hojo-AK-01_S31,0,33663,26918,1061,4404,681,0,39168,2900,76,50,0,13,3967,104,15,58,210,7311,0,0,2795,0,0,245,1075,2310,8760,76,67,3033,107,10903,51388,1345,76,303,7,510,0,0,6172,22,0,0,58,21
2020-Hojo-AK-02_S32,0,17100,15119,346,3417,249,0,20650,1983,32,35,0,21,3925,0,0,18,150,6531,6,0,1345,0,0,189,1154,808,5452,118,88,4260,83,3893,28071,517,16,336,21,584,0,0,1724,0,0,0,0,67
2020-Hojo-AK-03_S33,0,15403,12445,520,2324,487,0,23917,1298,26,29,0,51,2830,21,0,0,175,4529,0,0,1101,0,0,50,764,477,3632,40,49,2073,43,5649,32549,794,0,208,0,298,0,0,2759,95,13,0,0,8
2020-Hojo-AK-04_S34,3,19360,13332,330,1217,457,0,12188,140,6,0,0,0,1218,0,0,0,38,3874,0,0,1563,0,0,34,206,439,4109,13,0,602,13,3125,20725,239,0,128,0,121,0,0,1343,671,15,0,19,34
2020-Hojo-AK-05_S35,4,16691,14765,321,3370,662,15,31922,1960,0,12,0,21,4596,0,0,0,219,4109,0,0,911,0,0,41,1005,334,4385,29,0,4138,58,4647,28647,300,25,288,13,391,10,13,2512,27,6,0,0,38
2020-Hojo-AK-06_S36,3,22866,20840,256,3295,201,0,20201,843,46,41,0,41,3687,65,0,40,127,6092,0,0,1923,0,0,371,995,1325,6754,160,113,4388,58,5381,35266,742,0,450,0,437,0,0,2439,0,0,0,0,10
2020-Hojo-AK-07_S37,0,3124,5405,96,333,9,0,2199,78,0,0,0,0,218,0,0,0,16,541,0,0,680,0,0,20,0,20,844,0,0,87,0,671,5072,92,0,5,0,0,0,0,596,72,0,0,0,0
2020-Hojo-AK-08_S38,9,17133,31056,729,1359,241,0,17944,427,0,0,0,0,624,21,0,0,95,2228,0,0,3040,0,0,28,223,106,4144,0,0,654,61,5795,29705,280,0,20,0,27,0,0,2915,723,0,0,0,0
2020-Hojo-AK-09_S39,19,17703,41791,853,3673,442,0,16818,188,0,0,12,0,771,40,0,0,16,3899,0,0,5455,10,0,310,45,120,6054,4,0,577,53,4805,36119,231,13,8,40,0,0,0,3628,224,0,9,0,0
2020-Hojo-AK-10_S40,0,13322,20803,386,475,206,0,15374,30,0,0,0,0,378,0,0,0,19,1858,0,0,1761,0,0,27,0,177,2256,0,0,293,0,3418,21162,149,0,20,0,16,0,0,1377,1156,0,0,0,0
2020-Hojo-N-01_S11,0,23469,42786,488,3634,995,0,38625,16434,71,55,0,65,4940,7,0,71,587,50759,18,0,1458,0,0,209,1234,1306,14745,168,174,5636,280,17567,60428,537,18,449,5,600,12,12,4389,0,18,0,22,33
2020-Hojo-N-02_S12,0,16193,31167,168,1684,597,0,17785,2983,66,11,0,35,2346,0,0,21,212,23465,0,0,694,0,0,149,685,949,5483,298,104,2656,61,12079,49726,422,0,279,0,567,0,0,2479,23,0,0,23,9
2020-Hojo-N-03_S13,0,2946,6262,9,699,177,0,3287,839,4,12,0,7,682,0,0,30,131,12169,5,0,90,0,0,33,192,99,2155,47,58,1177,24,1316,9915,94,0,138,0,146,0,0,488,0,0,0,0,6
2020-Hojo-N-04_S14,0,17839,18005,266,1946,488,0,19644,1188,99,17,0,13,2308,0,0,17,118,16289,0,0,1074,0,0,64,626,828,7679,80,45,1819,55,7676,36983,527,26,133,24,219,0,10,2265,129,0,0,0,0
2020-Hojo-N-05_S15,0,12798,12905,277,1621,566,0,16176,1130,46,41,0,12,2095,0,0,7,219,16663,0,0,1003,0,0,11,629,415,5776,23,66,1658,56,5442,29213,294,9,161,15,376,0,0,1507,60,12,0,18,7
2020-Hojo-N-06_S16,3,11288,18701,188,1657,593,4,18418,1982,72,26,0,31,2753,0,0,35,464,28826,0,0,353,0,0,30,717,609,6223,55,39,2775,89,6329,32238,437,18,289,0,219,12,10,1297,5,0,0,0,22
2020-Hojo-N-07_S17,0,10201,10902,123,1127,414,0,14037,733,45,17,0,53,1297,0,0,14,96,7083,0,0,668,0,0,41,479,505,3141,68,26,1233,29,5525,20922,401,4,96,0,258,0,5,1512,10,13,0,0,6
2020-Hojo-N-08_S18,0,7485,10525,193,789,395,0,9201,1447,34,7,0,18,1137,0,0,23,276,13780,0,0,435,6,0,72,325,336,3666,7,33,812,10,4341,23800,435,18,82,12,131,0,0,1431,0,0,0,9,0
2020-Hojo-N-09_S19,0,7649,13391,323,1131,259,0,20652,1982,86,23,0,26,2156,48,0,0,280,12173,0,0,766,0,0,28,877,656,3919,23,53,2145,42,3254,23463,568,19,127,17,298,4,0,1926,7,0,0,27,0
2020-Hojo-N-10_S20,0,7493,17111,509,1719,133,0,18655,611,34,31,0,0,1593,12,0,0,86,7353,0,0,1105,0,0,155,708,665,3701,172,96,1253,3,2251,19005,318,12,69,0,128,4,12,1904,10,0,0,18,14
2020-Hojo-S-1_S21,5,10926,27373,508,775,214,0,9727,85,0,0,7,4,378,0,85,0,0,13405,0,0,3959,20,0,425,67,1072,3010,122,0,697,6,2820,19550,51,14,0,12,0,0,0,1087,0,0,0,0,5
2020-Hojo-S-10_S30,0,1582,20329,11,19,101,0,3752,30,0,0,3834,10,29,0,0,0,0,72921,0,0,2444,18,0,0,0,0,871,0,0,27,14,558,5664,83,0,0,0,0,0,0,1958,0,0,0,0,0
2020-Hojo-S-2_S22,0,1247,25515,8,218,32,0,4260,0,0,0,0,0,120,0,0,0,0,37543,0,0,853,10,0,14,10,278,1006,0,0,41,50,859,21410,0,0,0,0,0,0,0,477,0,0,4,0,0
2020-Hojo-S-3_S23,0,9992,33152,937,985,280,0,10995,712,0,0,80,0,214,0,112,0,19,11258,0,0,5013,26,0,299,0,660,3416,34,0,703,8,3132,21259,120,0,0,14,0,0,0,1027,0,0,0,0,0
2020-Hojo-S-4_S24,0,9564,28967,664,1218,247,0,10103,130,0,0,19,0,150,23,22,0,0,15725,0,0,5037,30,0,350,70,527,3396,86,0,526,46,2965,22598,58,0,0,6,0,0,0,1136,4,0,0,0,0
2020-Hojo-S-5_S25,6,12755,47794,950,1449,472,0,13017,76,0,0,0,0,305,20,69,0,10,16006,0,0,5196,18,0,348,52,1131,3872,161,0,905,31,4261,27098,92,0,0,18,0,0,0,2147,0,0,0,0,0
2020-Hojo-S-6_S26,0,16844,46411,963,3108,837,0,15049,465,0,0,12,17,1308,0,169,0,0,69817,0,0,7794,0,0,492,100,2857,6450,153,0,1236,0,4951,40023,121,0,15,19,0,0,0,2279,0,0,4,0,17
2020-Hojo-S-7_S27,0,10839,32174,697,1670,534,0,10226,1785,0,0,22,18,89,14,0,0,0,80306,0,0,12691,0,0,30,13,502,3985,0,0,494,64,3676,33270,0,0,3,20,0,0,0,1662,0,0,20,0,0
2020-Hojo-S-8_S28,0,7584,14873,373,204,472,0,1813,2339,0,0,12,0,0,0,0,0,6,40253,0,0,3375,7,0,0,0,0,1611,0,0,57,0,821,18949,0,0,0,0,0,0,0,361,1927,0,0,0,0
2020-Hojo-S-9_S29,0,12883,33553,398,1635,593,0,20025,2461,0,0,89,49,0,0,0,0,21,64825,0,0,19257,63,0,77,0,455,3966,4,0,518,1844,3200,38764,0,0,19,0,0,0,0,1710,9,0,0,0,0
2020-Hojo-NA-01_S61,34,28066,47270,947,4342,903,0,18465,644,0,0,0,0,1581,113,23,0,107,22012,3,0,5173,0,0,511,174,1708,7383,179,0,1313,11,6812,44371,93,4,15,0,0,0,0,4645,55,0,0,76,33
2020-Hojo-NA-02_S62,0,23160,36775,794,2504,578,0,13418,97,0,0,4,0,365,67,7,0,15,6520,0,0,3530,0,0,425,72,816,5052,0,0,881,62,6563,33389,91,9,3,21,0,0,0,4699,158,0,0,0,0
2020-Hojo-NA-03_S63,8,12396,16772,370,1780,321,0,8930,187,0,0,0,0,1093,0,98,0,23,25914,5,0,1972,0,0,290,178,1105,3854,293,13,665,9,2677,22130,202,14,26,0,0,0,0,1349,8,0,0,33,26
2020-Hojo-NA-04_S64,17,27976,48846,740,1118,1069,0,14984,677,0,0,0,10,412,22,0,0,81,29169,0,0,4180,0,0,54,146,186,7019,8,0,316,209,9231,37348,206,0,16,0,32,0,0,2932,1351,0,0,20,0
2020-Hojo-NA-05_S65,9,13955,27908,284,642,219,0,6443,203,0,0,0,0,272,0,0,0,23,8045,0,0,2079,0,0,12,16,74,2889,0,0,126,77,2664,18665,62,0,9,0,19,0,6,1465,720,0,0,0,0
2020-Hojo-NA-06_S66,12,12416,21784,359,696,290,0,5438,275,0,0,0,0,214,6,0,0,38,9071,0,0,1732,0,0,0,42,49,2498,0,0,96,53,2842,18501,41,0,8,0,0,0,0,887,1052,0,0,0,0
2020-Hojo-NA-07_S67,9,15802,35433,716,1704,434,0,9651,132,0,0,0,0,435,0,16,0,34,7186,0,0,3338,0,0,114,46,592,3842,33,0,446,0,4938,24985,57,0,0,0,0,0,0,3196,25,0,0,11,0
2020-Hojo-NA-08_S68,0,16474,27194,539,3304,171,0,17916,1021,0,23,0,0,1798,21,7,0,46,8060,0,0,2855,0,0,234,363,654,5228,69,168,742,13,2740,23780,247,0,62,12,136,0,16,2495,0,14,9,16,27
2020-Hojo-NA-09_S69,0,1574,3658,27,257,17,0,1297,50,0,0,0,0,211,0,0,0,33,654,0,0,155,0,0,27,47,36,601,0,21,80,0,139,2439,69,0,0,0,48,0,0,128,0,0,0,0,0
2020-Hojo-NA-10_S70,6,17339,30253,334,4054,201,0,22995,1322,0,6,0,0,2269,35,0,0,92,4607,0,0,2703,0,0,244,482,412,5087,57,152,1158,74,2425,29639,284,0,166,15,275,18,0,2362,7,0,7,20,0
2020-Hojo-H-61_S41,0,6894,11516,150,1489,79,0,12731,342,6,0,0,0,1749,0,169,0,22,1361,0,0,1020,0,0,245,1133,575,2143,120,311,582,13,1400,12341,284,0,18,0,171,0,0,1889,0,0,0,0,9
2020-Hojo-H-62_S42,0,12272,15257,395,1632,154,3,11342,363,80,21,0,0,1713,22,29,15,82,2489,0,0,1230,0,0,144,539,1040,3729,67,27,878,0,2679,19185,428,22,75,0,272,7,8,2938,4,0,0,0,20
2020-Hojo-H-63_S43,0,6934,7471,77,735,77,3,6014,196,61,14,0,0,1661,0,6,0,69,2513,0,0,592,0,0,57,518,553,1858,30,39,542,4,1211,11319,296,9,39,0,331,0,10,1465,0,6,0,0,29
2020-Hojo-H-64_S44,3,13967,16132,448,2700,116,0,10784,153,89,34,0,6,2451,33,40,0,8,3095,0,0,2304,0,0,327,703,1479,4126,207,25,802,0,2981,21439,540,24,81,10,173,0,0,3443,6,0,0,36,39
2020-Hojo-H-65_S45,0,3643,4183,91,532,46,0,2745,64,14,0,0,0,679,0,17,0,0,1063,0,0,493,0,0,39,186,243,982,0,24,204,0,379,4622,111,4,22,0,138,0,0,721,0,0,0,0,0
2020-Hojo-H-66_S46,3,13247,15253,385,1398,214,0,10403,95,82,25,0,0,1375,13,32,0,43,2818,0,0,1596,0,0,109,288,1320,3449,15,22,556,8,3238,17273,416,8,36,0,213,0,0,2659,32,8,0,9,7
2020-Hojo-H-67_S47,4,13303,13369,358,1504,271,0,11502,363,59,0,0,14,2147,53,9,13,61,4122,0,0,1424,0,0,133,523,479,4005,27,28,737,0,3731,18401,365,4,156,33,375,25,13,2331,133,0,0,9,61
2020-Hojo-H-68_S48,0,16589,20803,446,1119,201,0,13154,493,0,13,0,14,1261,28,23,0,68,3985,0,0,1573,0,0,198,420,1100,4305,32,21,534,0,4453,22774,493,5,66,0,231,0,0,3343,60,15,0,15,0
2020-Hojo-H-69_S49,5,17662,15061,460,1263,98,0,10075,100,35,5,0,0,1597,18,12,0,0,6053,0,0,1351,0,0,285,381,1121,4041,15,0,521,0,4867,20226,508,12,63,0,208,0,0,3312,128,14,0,0,0
2020-Hojo-H-70_S50,0,22543,15357,522,1431,297,0,24734,943,171,22,0,8,2545,35,0,20,74,2640,0,0,1345,0,0,171,902,842,3979,74,0,1790,17,7434,35529,682,0,111,0,609,10,0,3471,451,0,0,21,37
2020-Hojo-M-01_S51,12,16938,32387,883,2033,639,0,16741,291,0,0,0,115,626,0,24,0,16,26095,0,31,5513,49,0,323,145,925,4849,74,0,1088,79,5609,33968,162,27,0,0,0,0,0,1686,263,0,0,0,5
2020-Hojo-M-02_S52,0,20730,31977,861,1032,536,0,16062,425,16,0,7,0,1181,0,19,44,0,18672,0,43,4659,69,0,154,70,539,5894,16,0,892,32,5875,31109,111,38,7,20,0,0,0,1910,364,0,0,0,18
2020-Hojo-M-03_S53,0,21597,31751,1107,1866,584,0,16393,330,12,0,32,8,591,34,89,0,0,17415,0,127,3703,38,0,260,252,1736,5867,74,0,1122,34,6729,37115,179,26,16,0,0,0,0,2647,632,0,0,0,9
2020-Hojo-M-04_S54,0,14099,27945,411,645,396,0,13060,257,0,0,0,0,508,7,0,0,24,21995,0,0,3065,36,0,13,28,200,3770,0,0,596,11,4786,22788,181,6,0,0,0,0,7,2456,598,0,0,0,0
2020-Hojo-M-05_S55,0,22565,28705,1033,1689,586,0,18167,254,6,0,16,10,561,0,28,0,10,17099,0,64,4446,81,0,233,144,1208,5734,0,0,1130,15,7255,34431,179,0,14,0,0,0,0,2408,890,0,0,0,27
2020-Hojo-M-06_S56,0,17228,21603,953,1865,644,0,13297,284,11,0,19,29,581,17,86,19,0,10966,0,72,2960,0,0,171,159,1205,5087,49,0,903,8,5750,28363,175,12,0,0,0,0,0,2417,449,0,0,0,16
2020-Hojo-M-07_S57,0,27817,31188,1468,1487,815,0,22776,122,0,0,8,0,696,0,14,0,0,16929,0,63,4301,183,0,164,235,1244,5460,0,0,1415,24,8421,35700,254,42,19,0,0,0,0,3053,1459,0,15,0,16
2020-Hojo-M-08_S58,13,21140,25588,1317,1527,689,0,15181,303,0,0,0,0,554,20,54,0,9,13876,0,100,3839,37,0,105,113,1013,4593,41,0,873,17,6504,27683,181,19,17,0,0,0,0,2603,917,0,0,0,17
2020-Hojo-M-09_S59,14,27221,32430,1583,2266,883,0,22699,363,4,0,19,0,782,17,78,39,0,14850,0,152,5637,57,0,267,163,1999,6083,40,0,1386,9,9587,38358,127,24,19,0,0,0,0,3935,1402,0,0,0,18
2020-Hojo-M-10_S60,0,21276,24612,975,1484,669,0,18890,272,10,0,6,10,679,10,20,48,0,15271,0,90,3150,27,0,130,212,695,6058,0,0,683,45,6441,34248,163,36,13,0,0,0,0,2802,1303,0,9,0,32
2021-Hojo-001_S1,33,21494,23806,947,3806,745,0,16475,484,0,0,26,15,195,44,0,0,76,3905,0,0,4504,0,0,80,52,187,5199,13,0,495,183,12831,28366,171,0,2,0,0,0,0,4988,1064,0,6,0,0
2021-Hojo-002_S2,17,18319,34579,668,4955,511,0,23254,2141,6,0,27,0,798,15,0,16,125,11063,10,0,3922,9,0,191,93,262,6783,43,0,909,120,12978,29806,271,0,15,49,19,0,0,5992,20,0,19,0,0
2021-Hojo-003_S3,0,11295,20896,516,4519,740,0,8554,268,0,0,18,43,193,25,25,0,43,9190,0,0,3210,0,0,158,0,237,4951,45,0,684,31,9168,23972,78,0,0,19,0,0,0,5398,7,0,6,0,0
2021-Hojo-004_S4,40,14999,25734,895,4161,715,0,9597,274,0,0,42,0,120,14,0,0,0,4953,5,0,4504,0,0,128,0,73,4718,0,0,571,63,11879,26226,180,0,0,35,0,0,0,6099,238,0,12,0,0
2021-Hojo-005_S5,58,27035,26233,1151,3216,837,0,21436,330,0,0,25,0,142,62,0,0,38,2424,0,0,4987,0,0,30,27,54,4952,0,0,563,76,12630,32363,255,0,0,0,0,0,0,5173,2457,0,0,0,0
2021-Hojo-006_S6,13,17576,33071,1184,5171,815,0,15726,609,0,0,38,0,231,94,0,0,51,7757,0,0,5958,0,0,181,0,125,5431,0,0,1245,106,14258,34416,221,0,0,55,0,0,0,7012,102,0,17,0,0
2021-Hojo-007_S7,0,9378,13324,583,635,450,0,19235,237,0,0,14,7,0,10,0,20,12,3863,0,164,1350,0,0,0,0,102,2168,0,0,316,11,6547,15345,263,0,0,0,0,0,0,2505,3246,0,0,0,0
2021-Hojo-008_S8,0,10496,16612,483,2217,508,0,7801,1034,0,0,9,0,422,7,24,0,36,4901,0,0,1840,0,0,25,11,134,3700,15,0,448,0,11081,19381,104,0,0,7,0,0,0,5085,93,0,0,0,0
2021-Hojo-009_S9,26,19842,22724,913,2268,811,0,12737,265,0,0,5,13,207,18,0,0,0,5678,0,0,4067,0,0,93,32,110,5611,0,0,1033,92,15930,27688,145,0,5,0,0,0,0,5572,683,0,0,0,0
2021-Hojo-010_S10,9,14665,15355,845,2009,389,0,14424,438,0,0,8,0,100,25,0,0,31,3231,0,0,2648,0,0,46,21,42,3641,0,0,330,37,10361,20933,128,0,0,0,0,0,0,3613,656,0,0,0,0
2021-Hojo-011_S11,11,11312,16123,392,4276,844,0,11103,345,51,0,3,62,319,30,53,14,20,17646,0,0,3439,12,11,231,150,1024,3548,189,0,819,196,9256,18916,81,0,3,0,0,0,0,2490,46,0,8,0,16
2021-Hojo-012_S12,6,8017,13089,272,3433,868,0,6923,407,26,0,5,22,146,69,51,0,0,15673,0,0,2402,13,0,156,92,723,3687,204,0,572,255,6235,15343,31,0,4,0,0,0,0,1865,28,0,19,0,33
2021-Hojo-013_S13,4,11834,19090,343,4821,996,0,9259,458,22,0,4,76,277,67,74,0,32,18671,0,35,3431,9,14,476,137,1033,5068,175,0,796,205,9548,22507,5,0,11,0,0,0,0,3111,36,0,0,0,60
2021-Hojo-014_S14,6,8833,13701,302,4843,798,0,9795,559,32,0,6,22,252,68,45,0,0,9764,0,15,2821,0,0,343,136,744,2871,112,0,715,230,7783,15851,131,4,4,0,0,0,0,2425,25,0,11,9,47
2021-Hojo-015_S15,11,12783,19773,518,6205,1363,0,12900,787,14,0,12,75,377,68,96,0,0,22402,0,69,4846,12,14,503,131,852,5832,327,0,753,293,11566,26527,60,15,6,8,0,0,0,3534,47,0,0,0,109
2021-Hojo-016_S16,4,7412,12876,320,4931,786,0,8591,566,15,0,8,52,154,44,36,0,0,13639,0,13,2591,6,0,225,79,446,3115,141,0,589,325,7369,14022,33,0,17,0,0,0,0,1846,11,0,0,0,40
2021-Hojo-017_S17,5,7413,11632,282,3788,840,0,7177,323,30,0,0,57,164,62,38,0,0,12562,0,33,2286,0,4,225,37,594,2734,157,0,468,218,6493,13358,38,0,5,0,0,0,0,1851,31,0,0,0,30
2021-Hojo-018_S18,0,5756,9460,222,1883,359,0,5609,312,0,0,3,24,121,37,44,0,42,6089,0,20,1820,6,0,161,59,269,2247,23,0,390,30,3588,9946,0,6,0,0,0,0,0,1581,7,0,7,0,5
2021-Hojo-019_S19,0,4468,8585,138,1836,321,0,4360,209,6,0,0,21,83,41,26,0,19,7375,0,0,1453,0,0,52,38,341,1481,52,0,366,107,3941,8602,0,0,0,0,0,0,0,967,7,0,0,0,4
2021-Hojo-020_S20,0,8437,13771,327,3220,749,0,9073,549,13,0,0,40,301,24,73,0,0,12961,0,7,2116,13,0,374,43,642,2838,183,0,605,106,6480,14878,81,0,6,0,0,0,0,1648,12,0,0,0,68
2021-Hojo-021_S83,11,20539,34161,876,4875,1140,0,17971,1043,0,0,5,153,812,46,120,11,30,32094,0,61,6005,66,0,738,203,1648,8044,245,0,1334,150,14656,34805,67,21,5,0,0,0,0,4941,52,0,0,16,49
2021-Hojo-022_S22,0,12706,20448,511,5282,974,0,12078,1313,42,0,0,67,362,43,136,0,39,11224,0,15,3377,6,0,478,217,943,4102,203,0,894,164,11469,22249,89,0,4,9,0,0,0,3213,43,0,9,0,61
2021-Hojo-023_S23,14,12211,20048,467,3834,440,0,10656,834,8,0,15,60,210,59,159,0,35,7808,0,24,3064,6,0,359,125,746,4231,103,0,801,83,8648,19174,18,22,0,8,0,0,0,3560,26,0,0,0,8
2021-Hojo-024_S24,7,15829,24837,572,6809,1158,0,16669,649,0,0,26,73,383,50,160,0,51,20352,0,30,4826,12,10,557,175,959,7008,189,0,876,109,12307,27030,50,0,6,6,0,0,0,4117,55,0,16,0,165
2021-Hojo-025_S25,0,6921,10962,227,1848,273,0,5782,241,9,0,0,67,147,38,85,0,23,7932,0,12,2202,14,0,124,65,612,2561,83,0,531,55,4628,10653,63,7,0,0,0,0,0,2231,18,0,0,0,11
2021-Hojo-026_S26,0,9254,13761,317,3761,649,0,8015,377,7,0,3,84,257,47,80,0,26,12124,0,18,2295,6,9,376,111,861,3516,145,0,664,143,7099,15129,0,7,5,7,0,0,0,2512,37,0,0,0,77
2021-Hojo-027_S27,14,9306,16470,476,2810,431,0,11038,1041,0,0,5,46,229,21,62,6,14,3831,0,0,2814,0,0,283,51,368,3015,57,0,654,89,7607,15906,37,0,4,0,0,0,0,2578,17,0,10,0,5
2021-Hojo-028_S28,0,12884,19631,446,4927,1062,0,12968,401,42,0,0,47,343,53,92,0,31,11180,0,34,3741,6,0,408,154,1083,4598,191,0,1077,192,10351,20779,104,0,4,0,0,0,0,3147,29,0,14,0,18
2021-Hojo-029_S84,14,27122,39972,873,9458,1871,0,27558,1272,78,0,7,70,666,12,170,27,32,36512,0,9,9383,23,14,444,359,1636,9082,454,0,2196,586,22893,47518,234,0,15,6,0,0,0,5671,86,0,38,0,32
2021-Hojo-030_S30,0,10449,15795,310,4208,475,0,8482,909,38,0,0,100,392,30,59,0,23,14203,0,18,2561,0,0,302,120,691,3451,185,0,772,188,7246,17103,38,9,0,5,0,0,0,2737,35,0,9,0,53
2021-Hojo-031_S31,0,6793,9716,280,2227,332,0,6336,338,0,0,0,42,163,36,40,0,11,7501,0,5,2176,0,0,137,41,381,2212,65,0,451,100,4263,10148,11,10,0,0,0,0,0,1741,7,0,0,0,49
2021-Hojo-032_S32,7,13185,25118,535,5078,1032,0,11535,602,11,0,9,99,385,79,47,0,45,13944,0,16,3537,0,0,375,187,1028,4747,127,0,882,125,10515,22444,0,12,0,0,0,0,0,4420,25,0,17,0,86
2021-Hojo-033_S33,0,10447,14698,556,2639,379,0,7457,204,0,0,11,22,256,28,76,0,0,3710,0,49,2078,4,0,137,67,699,2838,22,0,367,40,7238,15405,18,0,8,0,0,0,0,2951,40,0,9,0,14
2021-Hojo-034_S34,0,12309,21627,504,3436,884,0,9766,390,0,0,6,56,293,39,43,6,50,13924,0,28,3619,8,0,244,130,982,3845,26,0,764,18,8996,20409,32,10,8,0,0,0,0,3555,60,0,7,0,0
2021-Hojo-035_S35,0,8015,13859,239,2699,608,0,7013,272,37,0,0,50,237,31,90,0,0,13317,0,12,1919,7,12,280,37,885,2875,191,0,614,109,6084,15381,48,0,4,0,0,0,0,1681,0,0,6,0,28
2021-Hojo-036_S36,0,9039,15413,221,3314,820,0,7574,299,53,0,0,51,198,23,52,0,0,13485,0,0,2435,18,11,179,61,897,2930,117,0,627,103,6969,16767,58,0,0,0,0,0,0,1786,0,0,11,0,5
2021-Hojo-037_S37,0,5887,13728,254,1442,336,0,6062,844,12,0,12,20,128,0,22,0,0,21892,0,90,2666,0,0,103,61,559,4642,33,0,597,255,5789,17057,21,0,0,0,0,0,0,2310,0,0,0,0,10
2021-Hojo-038_S38,5,8753,15692,351,4286,766,0,7897,550,20,0,7,78,272,89,81,0,0,14547,0,22,2910,10,0,315,97,803,3909,131,0,590,171,6634,16219,14,9,0,0,0,0,0,2293,23,0,0,0,77
2021-Hojo-039_S39,8,9837,13673,337,3614,686,0,9081,416,25,0,0,29,291,29,58,0,0,14073,0,0,3244,9,0,348,114,1073,3118,215,0,869,267,7652,16114,151,0,6,0,0,0,0,2226,22,0,0,0,26
2021-Hojo-040_S40,0,7708,11250,228,2960,638,0,6793,416,42,0,7,39,253,49,39,0,24,13249,0,0,2388,18,7,296,47,895,3170,163,0,660,178,6843,14595,31,0,0,0,0,0,0,1698,9,0,5,0,6
