index,d__Bacteria;p__Abditibacteriota,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Armatimonadota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Dadabacteria,d__Bacteria;p__Deferrisomatota,d__Bacteria;p__Deinococcota,d__Bacteria;p__Dependentiae,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Entotheonellaeota,d__Bacteria;p__FCPU426,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__GAL15,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Halanaerobiaeota,d__Bacteria;p__Hydrogenedentes,d__Bacteria;p__Latescibacterota,d__Bacteria;p__MBNT15,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__Myxococcota,d__Bacteria;p__NB1-j,d__Bacteria;p__Nitrospinota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__RCP2-54,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__Spirochaetota,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Sva0485,d__Bacteria;p__TA06,d__Bacteria;p__TX1A-33,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__WPS-2,d__Bacteria;p__WS1,d__Bacteria;p__WS2,d__Bacteria;p__WS4,d__Bacteria;p__Zixibacteria
2021-Hojo-114_S114,0,5620,10385,325,1077,66,0,4953,0,10,0,0,0,57,0,94,0,0,1681,0,0,834,18,0,155,45,753,1115,93,0,472,0,2614,7919,38,0,0,0,13,0,0,1240,0,0,0,0,0
2021-Hojo-115_S115,4,12637,10775,265,1140,212,0,9012,6,0,0,0,51,262,12,109,0,0,3810,0,0,3273,4,0,161,88,2614,2832,57,0,646,0,5986,13267,114,0,5,0,0,0,0,2774,0,0,0,0,4
2021-Hojo-116_S116,6,9815,15905,348,939,45,0,7307,6,0,0,0,42,174,28,84,0,0,5028,0,23,2274,6,0,201,0,1876,1902,49,0,506,4,4678,11981,173,0,6,0,0,0,0,2801,0,0,0,0,10
2021-Hojo-117_S117,2,12469,12535,305,1463,291,0,12255,4,0,0,0,128,260,38,146,7,0,5143,0,0,3162,0,0,217,54,2405,2264,79,0,474,0,10797,16227,150,0,0,0,0,0,0,4171,13,0,0,0,0
2021-Hojo-118_S89,0,15482,19685,595,1016,262,0,10196,0,0,0,0,121,287,12,73,10,0,3349,0,107,2607,0,0,243,34,2370,2485,99,0,726,0,6720,18396,429,0,15,0,0,0,0,4358,50,0,0,0,16
2021-Hojo-119_S119,6,7608,8684,307,760,113,0,4924,0,0,0,0,20,217,8,68,0,0,936,0,16,2422,0,0,196,29,1362,1159,11,0,328,8,4822,9304,230,0,0,0,0,0,0,2390,0,0,0,0,26
2021-Hojo-120_S120,0,1865,5892,46,352,139,0,2050,73,0,0,0,8,0,0,0,0,11,6582,0,0,430,0,0,0,6,291,516,52,0,160,0,852,2854,0,0,0,0,0,0,0,280,0,0,0,0,0
2021-Hojo-121_S121,0,3340,16787,34,467,292,0,3031,253,0,0,0,0,19,0,0,0,51,18852,0,0,586,5,0,17,0,299,1095,92,0,387,0,1253,6150,16,0,0,0,0,0,0,449,0,0,0,0,0
2021-Hojo-122_S122,0,6577,17177,400,1602,510,0,7120,3137,0,0,8,22,207,33,10,0,0,10605,0,0,2133,3,0,157,13,412,2471,29,0,467,31,4802,13698,36,0,5,24,0,0,0,1888,0,0,0,0,0
2021-Hojo-123_S123,0,7146,18443,413,1178,406,0,6831,871,0,0,11,10,171,26,7,0,0,5593,0,0,2055,0,0,164,26,379,2017,22,0,395,17,4753,11434,40,0,3,19,0,0,0,2160,0,0,0,0,0
2021-Hojo-124_S124,7,3508,9932,201,496,112,0,3368,213,0,0,0,10,37,22,23,0,0,12074,0,0,1564,0,0,104,0,153,899,0,0,274,4,1872,5546,0,0,0,14,0,0,0,536,0,0,0,0,0
2021-Hojo-125_S125,0,3220,10943,101,822,300,0,3611,423,0,0,3,0,95,27,0,0,10,5530,0,0,900,0,0,62,0,189,829,11,0,200,98,1601,6605,0,0,0,0,0,0,0,409,0,0,0,0,0
2021-Hojo-126_S126,0,3528,17162,140,1153,298,0,5216,386,0,0,8,0,75,11,0,0,14,6071,0,0,1599,0,0,52,0,107,1442,0,0,174,13,2299,8398,16,0,0,39,0,0,0,1007,0,0,12,0,0
2021-Hojo-127_S127,3,8820,10938,149,1095,115,0,6339,0,0,0,0,23,253,24,11,0,0,1550,0,272,1136,0,0,78,99,962,1616,0,0,224,7,6653,10944,146,0,8,0,0,0,0,2986,180,0,0,0,9
2021-Hojo-128_S128,0,2612,4225,41,169,10,0,864,0,0,0,0,0,62,0,0,7,0,394,0,0,320,0,0,34,0,167,412,0,0,113,0,850,2015,20,0,0,0,0,0,0,491,0,0,0,0,0
2021-Hojo-129_S129,3,5600,6794,109,664,83,0,3730,34,0,0,0,27,174,9,21,0,0,723,0,91,951,0,0,129,109,1134,919,0,0,218,0,4413,7249,134,0,0,0,0,0,0,1359,0,0,0,0,15
2021-Hojo-130_S130,0,11874,13926,333,756,85,0,5144,11,0,0,0,25,269,36,0,10,0,2066,0,0,2281,0,0,125,41,1495,1738,32,0,335,7,7694,13553,140,7,19,0,0,0,0,2051,0,0,0,0,16
2021-Hojo-131_S131,0,11172,15693,129,792,175,0,8094,16,0,0,0,88,320,0,0,16,0,2530,0,178,2170,0,0,208,51,1401,1569,0,0,177,0,7714,12923,299,0,23,0,0,0,0,2919,190,0,0,0,4
2021-Hojo-132_S132,0,9699,12833,167,755,106,0,4674,44,0,0,0,11,188,42,0,15,0,1605,0,0,1701,0,0,117,34,1062,1664,37,0,341,3,7461,11954,121,0,10,0,0,0,0,2693,0,0,0,0,0
