,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss,Loss,Loss
S,fold2,,,0.6840921180642563,,,,,,19.988384246826172,,,
R,fold2,,,0.5448840508874322,,,,,,1943.1654770094356,,,
X,fold2,,,0.5083853945047458,,,,,,2026.81201171875,,,
S,fold2,,,0.576154862162998,,,,,,1493.1610202491531,,,
S,fold2,,,,0.6279784566056061,,,,,,9.014884948730469,,
R,fold2,,,,0.5302241068467228,,,,,,472.9131467539441,,
X,fold2,,,,0.43462733687279725,,,,,,468.8452453613281,,
S,fold2,,,,0.6422617565072031,,,,,,414.706432122323,,
S,fold2,,,,,0.8248476245072801,,,,,,0.3053807020187378,
R,fold2,,,,,0.8810261414538132,,,,,,3.5676605169052427,
X,fold2,,,,,0.8484749112880586,,,,,,3.5332117080688477,
S,fold2,,,,,0.8990333699581984,,,,,,3.592915243052251,
S,fold2,,,,,,0.6446478648041866,,,,,,0.02317502535879612
R,fold2,,,,,,0.6869334545057143,,,,,,0.030283508171540133
X,fold2,,,,,,0.640280719869068,,,,,,0.0302415918558836
S,fold2,,,,,,0.0,,,,,,0.030646960521523745
M,fold3,0.820122156892424,0.5963506876120053,0.8176437953298484,0.6382084539446736,0.8451177559329347,0.6950602129423383,0.530928373336792,0.1683291345834732,14.648743629455566,10.5600004196167,0.21243859827518463,0.015377047471702099
M,fold3,0.8385477655867581,0.5830722321890474,0.8132011184459231,0.67872499342644,0.8460202091721021,0.7359076422658746,0.48971059918403625,0.17111435532569885,15.5927095413208,10.292452812194824,0.21575608849525452,0.014027518220245838
S,fold3,0.6763447977987622,,,,,,0.8766527771949768,,,,,
R,fold3,0.8027402730147161,,,,,,2.008165346191281,,,,,
X,fold3,0.7402136250618043,,,,,,1.9289271831512451,,,,,
S,fold3,0.8157298379964856,,,,,,1.8499471615976026,,,,,
S,fold3,,0.5631578986905826,,,,,,0.17307332158088684,,,,
R,fold3,,0.4864538140726965,,,,,,0.23686252679044498,,,,
X,fold3,,0.3930513285965698,,,,,,0.2358655035495758,,,,
S,fold3,,0.5680419787719205,,,,,,0.2390178062634285,,,,
S,fold3,,,0.8205875981265873,,,,,,14.266900062561035,,,
R,fold3,,,0.7439230929852496,,,,,,1639.8662276358132,,,
X,fold3,,,0.6782348073316745,,,,,,1598.376220703125,,,
S,fold3,,,0.5926320393542349,,,,,,1505.1650718499523,,,
S,fold3,,,,0.6550645928927072,,,,,,10.479408264160156,,
R,fold3,,,,0.7236456976450566,,,,,,357.2286272583704,,
X,fold3,,,,0.5545460469096722,,,,,,355.91845703125,,
S,fold3,,,,0.6625825586743096,,,,,,354.4276675741408,,
